242,0,0,0,0,62,0,1,0,1,29,0,1
834,1,5,0,0,64,0,1,0,1,22,0,1
978,44,18,0,0,114,0,1,0,1,35,0,1
490,0,26,0,0,3840,0,1,0,1,38,0,1
248,0,0,0,0,72,0,1,0,1,42,4,1
123,2,611,0,0,319,0,0,0,1,31,0,1
303,13840,138,78,13,6352,24,0,1,1,79,1,1
206,0,14,0,0,65,0,1,0,1,30,0,1
333,0,0,0,0,63,0,1,0,1,26,0,1
1277,1,21,5,0,125,0,1,0,1,24,0,1
804,35,29,1,1,237,0,1,0,1,27,0,1
894,10,50,5,0,215,0,1,0,1,23,0,1
1188,1,372,0,0,454,0,0,0,1,68,0,1
921,5,6,0,0,62,0,1,0,1,20,0,1
1040,0,222,0,0,63,0,1,0,1,20,0,1
1191,45,52,12,1,4354,0,0,0,1,36,0,1
815,0,0,0,0,63,0,1,0,1,27,0,1
944,2,61,0,0,65,0,1,0,1,22,0,1
930,2,13,0,0,63,0,1,0,1,28,0,1
972,0,0,0,0,56,0,1,0,1,21,0,1
1132,0,0,0,0,63,0,1,0,1,22,0,1
1409,2,45,0,0,64,0,1,0,1,21,0,1
446,1,2,0,0,66,0,1,0,1,31,0,1
1038,1,10,0,0,7100,0,1,0,1,31,0,1
720,4,25,20,0,67,0,1,0,1,20,0,1
1359,0,252,0,0,331,0,0,0,1,40,0,1
860,2,6,1,0,109,0,1,0,1,27,0,1
1376,31,134,1,0,68,0,1,0,1,26,0,1
765,17,573,23,0,72,0,1,0,1,23,0,1
560,6,43,0,0,333,0,0,0,1,38,0,1
803,6,758,2,0,73,0,1,0,1,19,0,1
1295,18,78,395,0,530,0,1,0,1,11,0,1
926,8,33,0,0,71,0,1,0,1,43,4,1
1889,8,32,0,0,67,0,1,0,1,50,4,1
1395,1,13,0,0,63,0,1,0,1,19,0,1
601,0,13,3,0,68,0,1,0,1,46,0,1
1253,21,21,0,1,232,0,1,0,1,21,0,1
933,0,2,0,0,63,0,1,0,1,21,0,1
961,0,0,0,0,121,0,1,0,1,20,0,1
1810,1473,280,4,94,6510,0,1,0,1,34,0,1
1155,0,191,0,0,65,0,1,0,1,40,0,1
928,1,0,0,0,64,0,1,0,1,28,0,1
1257,0,3,0,0,63,0,1,0,1,11,0,1
324,0,0,0,0,65,0,1,0,1,12,0,1
486,19,113,0,0,95,0,1,0,1,27,0,1
343,0,0,0,0,62,0,1,0,1,22,0,1
1700,4,0,0,0,62,0,1,0,1,21,0,1
798,0,2,0,0,338,0,0,0,1,34,8,1
890,0,8,0,0,87,0,1,0,1,23,0,1
1155,0,3,0,0,69,0,1,0,1,20,0,1
1272,5,412,0,0,71,0,1,0,1,27,0,1
199,0,10,0,0,62,0,1,0,1,31,0,1
